rns,mrt,smsa,med,iq,kww,age,s,expr,tenure,lnw
0,1,1,12,122,38,23,12,5.3239999,6,6.0640001
0,1,1,12,117,48,25,18,1.467,2,6.7290001
0,1,1,8,109,44,28,16,1.619,5,6.3889999
1,1,1,12,114,55,27,17,1.462,1,6.3579998
0,1,1,12,126,40,21,16,.55199999,1,6.2249999
0,0,1,11,82,45,21,12,0,3,5.2979999
0,0,1,12,119,45,21,16,.94199997,1,5.9660001
0,1,1,12,104,37,23,16,0,1,5.8969998
0,1,1,12,97,45,22,12,3.461,1,5.5830002
0,0,1,14,105,27,22,14,.221,1,5.5209999
0,0,1,7,100,32,18,12,2.25,1,5.7620001
0,1,1,12,114,41,18,12,0,1,5.3709998
0,1,1,8,96,48,23,11,1.5829999,2,5.743
0,0,1,12,113,30,21,15,2.6819999,1,6.3579998
0,0,1,14,106,38,22,10,3.3329999,1,5.4809999
0,1,1,8,104,37,21,13,.12800001,4,5.743
0,0,1,12,104,30,22,12,0,0,6.1090002
0,0,1,16,122,36,20,12,.38100001,1,5.2979999
0,0,1,12,96,38,20,12,0,3,5.4159999
0,0,1,16,95,51,25,15,2.3080001,0,5.8460002
0,0,1,16,105,24,20,12,0,1,5.823
0,1,1,12,91,41,25,17,1.178,2,6.6849999
0,1,1,12,96,37,22,16,.75300002,1,5.421
0,0,1,9,111,44,19,14,.37799999,1,5.3709998
0,0,1,9,110,35,19,14,0,1,5.5209999
0,0,1,9,97,37,21,16,4.533,0,5.9910002
0,0,1,8,125,44,27,17,0,4,6.6090002
0,0,0,9,91,39,22,12,0,3,5.73
0,0,0,8,86,28,23,11,3.2590001,1,5.6999998
0,1,1,9,110,32,21,12,3.3329999,2,5.5050001
0,1,0,12,92,47,22,14,2.3329999,1,5.5570002
0,1,0,9,85,41,24,10,1.378,2,5.3709998
0,1,0,8,120,36,26,17,.35800001,1,6.4380002
0,1,1,12,106,42,25,12,6.8860002,0,6.3099999
0,0,0,12,112,41,21,16,.236,1,5.73
0,1,1,10,91,39,24,10,0,1,6.1529999
0,1,1,10,90,42,24,12,2.645,3,5.9910002
0,0,0,12,113,27,17,12,.096000001,1,5.0749998
0,1,1,12,111,51,24,12,0,2,5.823
0,0,1,12,111,30,20,12,2.378,1,5.198
0,0,1,8,106,32,18,12,.45199999,1,5.0110002
0,0,0,12,98,28,18,12,.23100001,1,5.165
0,0,0,12,105,28,18,12,0,1,5.4970002
0,1,0,10,105,29,19,10,.97799999,1,5.6020002
0,1,1,12,118,44,22,13,0,4,6.1820002
0,1,1,12,90,38,22,12,4.6669998,5,5.8169999
0,0,1,9,95,34,19,12,.98100001,3,5.0560002
0,1,1,12,112,24,20,13,.41100001,3,6.059
0,1,1,12,120,39,23,12,.403,2,5.9910002
0,0,1,12,123,41,17,12,.37799999,1,5.165
0,0,1,16,103,32,20,12,.78200001,1,6.059
0,1,1,16,121,40,25,18,.89600003,1,6.4380002
0,1,1,12,90,44,26,16,0,4,6.0679998
0,0,1,12,125,32,20,12,2.652,1,5.5609999
0,0,1,9,109,34,24,18,3.1860001,0,6.3239999
1,0,1,10,128,46,21,16,.40400001,1,6.0749998
0,0,1,12,97,35,17,12,.333,1,5.8200002
0,1,1,12,96,35,19,12,0,1,5.2979999
0,0,1,12,97,44,16,12,.76899999,1,5.3660002
0,1,1,7,112,39,25,12,4.9850001,1,6.3330002
0,1,1,2,88,32,24,12,4,1,5.257
0,1,1,14,97,39,22,12,1.142,2,5.8579998
0,1,1,6,101,41,22,12,0,2,5.5209999
0,1,1,7,106,42,21,10,5.3330002,1,5.4380002
0,0,1,8,59,28,26,10,6.3210001,0,5.2979999
0,1,1,12,105,54,26,18,.37200001,6,6.2340002
0,0,1,12,119,30,21,16,0,1,5.5650001
0,0,1,8,93,36,24,11,4.4029999,3,5.6170001
0,1,1,12,82,38,22,12,4.717,5,5.5609999
0,0,1,16,134,45,25,18,0,1,6.0710001
0,0,1,8,84,29,20,12,.39500001,1,6.2150002
0,0,1,12,98,36,20,11,2.9619999,3,5.704
0,0,1,13,118,41,22,16,4.0570002,1,5.6560001
0,1,1,12,113,50,25,17,3.7119999,2,5.8379998
0,0,1,9,100,18,18,12,1.308,1,5.2979999
0,0,1,12,93,27,18,12,0,2,5.4889998
1,1,1,12,119,30,23,16,0,1,6.0279999
0,0,1,12,106,38,22,14,.389,2,5.5209999
0,0,1,10,127,49,28,17,2.378,6,6.763
0,0,1,12,113,35,21,15,.73100001,1,6.2150002
0,0,1,12,115,36,19,13,.39500001,1,5.8379998
0,0,1,12,102,40,23,16,1.005,3,6.2969999
0,1,1,12,117,51,21,16,.46200001,1,6.125
0,0,1,10,125,34,20,16,.205,0,5.6350002
0,1,1,8,118,47,23,16,2.1670001,3,5.8379998
0,1,1,12,121,40,29,18,4.9710002,1,6.645
0,1,1,12,115,51,26,17,0,4,6.3579998
0,1,1,12,120,44,27,13,2.4619999,7,6.2800002
0,1,1,11,109,43,24,12,5.131,4,5.869
0,0,1,12,109,28,17,12,0,1,5.165
0,1,0,12,85,50,29,12,10.077,2,6.1199999
0,0,1,11,106,32,21,14,1.538,2,5.6729999
0,1,1,10,101,30,17,12,.37799999,1,5.0110002
0,0,1,12,116,40,17,12,0,1,5.5289998
0,0,1,7,91,24,18,12,.96200001,1,4.9419999
0,0,1,11,91,28,20,12,.333,3,4.9130001
0,0,1,7,110,34,20,9,0,1,5.4159999
0,1,1,7,75,33,24,12,6.6999998,0,5.165
0,0,1,12,94,17,20,12,.96399999,1,5.0749998
1,0,1,12,109,27,20,13,1.584,1,6.0209999
0,1,0,8,122,38,22,16,.87400001,1,5.7069998
0,0,1,11,102,26,23,12,0,2,5.2979999
0,1,1,8,122,38,23,14,2.6889999,1,5.5830002
0,1,1,10,105,38,23,12,4.3779998,2,5.5869999
0,0,1,9,113,37,22,12,2,2,5.493
0,1,1,8,104,34,22,12,3.9319999,0,5.8720002
0,1,1,9,124,43,26,16,.377,6,6.1760001
0,0,0,12,110,31,19,12,1.2180001,1,5.1929998
0,0,1,12,95,37,19,12,1.8329999,1,5.5209999
0,1,0,18,120,39,24,16,1.4220001,2,6.125
0,0,0,12,105,39,24,12,4.9640002,1,5.263
0,0,0,12,121,30,20,16,.48199999,0,5.8889999
0,1,1,8,96,42,26,12,0,7,6.586
0,0,0,9,110,26,18,12,2.1359999,1,5.5289998
0,0,0,12,92,32,18,12,0,1,5.165
0,1,1,9,98,34,29,12,7.9910002,4,6.0710001
0,1,1,11,109,43,23,15,.84600002,1,5.7589998
0,0,1,11,118,44,23,17,.331,1,5.9990001
0,1,1,14,97,42,23,16,0,3,5.8720002
0,1,1,16,95,42,28,17,0,2,6.0910001
0,1,1,10,99,40,26,12,1.8660001,3,6.1760001
0,1,0,10,106,31,18,12,.37799999,1,5.5409999
0,0,1,12,117,33,18,12,.96200001,1,5.46
0,1,0,12,90,47,23,12,6.3779998,7,5.5209999
0,0,1,12,95,44,21,12,4.5,1,5.2090001
0,0,1,12,115,43,18,12,1.3329999,1,5.4549999
0,0,1,12,106,40,22,14,1.503,5,5.6350002
0,0,0,8,114,26,18,12,0,1,5.2979999
0,0,0,12,92,34,20,12,.71700001,2,5.7930002
0,1,0,13,119,36,23,16,1.7079999,2,6.3060002
0,0,0,13,85,32,20,13,.67799997,1,4.927
0,0,0,12,98,34,21,16,.366,1,5.8579998
0,1,0,12,114,30,20,12,1.4579999,3,5.5869999
0,1,0,8,84,42,23,18,.37799999,1,5.0110002
0,1,0,16,108,42,19,13,.333,1,5.1529999
0,1,0,8,107,32,20,12,4.0669999,1,5.4029999
0,1,0,16,84,35,24,12,3.2119999,3,5.4510002
0,1,0,10,86,22,18,12,.37799999,2,5.165
0,0,0,10,88,27,21,12,3.378,4,5.5409999
0,1,1,12,117,45,23,16,.87599999,1,6.1360002
0,0,1,12,110,42,22,16,5.7680001,2,6.1919999
0,1,1,9,104,32,24,12,4.8979998,1,6.6199999
0,0,1,9,110,26,19,13,0,3,5.6700001
0,1,1,11,99,33,22,16,3.1210001,1,5.9510002
0,0,1,12,117,31,18,12,0,1,5.6700001
0,1,0,8,85,39,23,16,0,1,5.71
0,1,0,11,114,36,21,16,4.191,0,5.8460002
0,1,0,12,107,30,21,15,0,5,5.6900001
0,1,1,12,117,41,26,18,.62800002,1,6.402
0,1,1,16,112,47,30,18,2.3970001,3,6.645
0,1,1,14,106,46,28,18,1.013,1,6.4219999
0,0,1,12,116,38,21,14,0,1,5.8460002
0,0,1,8,123,44,21,14,0,3,5.9530001
0,0,1,8,118,40,21,16,.37799999,1,6.0710001
0,1,1,12,103,29,23,12,0,1,6.5
0,1,1,8,114,40,23,12,5.3330002,2,5.6490002
0,1,1,12,102,36,21,12,4.2729998,5,5.0999999
0,0,1,6,104,36,22,12,4.7329998,1,5.598
0,0,1,14,112,43,19,14,.37799999,1,5.5609999
0,0,1,12,107,39,18,12,.34599999,1,5.6939998
0,1,1,12,117,36,25,13,4.9330001,3,5.8720002
0,1,1,12,96,42,19,12,0,2,5.2979999
0,0,1,8,97,27,18,12,.354,1,5.914
0,0,1,8,99,29,19,10,2.628,1,5.3940001
0,0,1,8,126,44,21,14,.90600002,3,5.7839999
0,0,1,12,109,49,25,17,.98100001,1,5.8860002
0,0,1,12,119,48,21,16,.057999998,0,4.9419999
0,1,1,12,102,38,21,16,3.1429999,1,5.8579998
0,0,1,9,105,45,24,17,0,1,5.3520002
0,0,1,12,117,40,20,16,0,1,5.6659999
0,0,1,12,112,40,24,16,3.25,4,5.9349999
0,0,1,8,89,28,16,10,0,0,5.3569999
0,0,1,12,131,39,18,12,0,1,5.7589998
0,1,1,16,114,28,20,16,.81599998,0,6.2969999
0,0,1,10,98,35,23,12,4.7119999,6,5.737
0,0,1,12,125,30,20,13,1.3609999,2,6.04
0,0,1,10,100,38,25,16,2.378,1,5.8379998
0,0,1,8,113,26,18,12,0,4,5.6170001
0,0,1,10,102,46,23,16,1,1,5.6630001
0,0,1,12,82,33,23,18,.37799999,5,5.4380002
0,1,1,12,112,47,21,14,1.575,2,5.652
1,0,1,8,111,38,23,16,0,0,5.4029999
0,0,1,11,96,24,19,13,0,1,5.2979999
0,0,1,16,127,48,23,16,1.3329999,1,5.6939998
0,0,1,8,97,47,24,14,1,1,6.2150002
0,1,1,12,120,50,25,14,.79500002,2,6.6199999
0,0,1,16,101,41,27,16,.39700001,2,5.9910002
0,0,1,12,120,40,23,14,3.3329999,2,5.8109999
0,0,1,5,110,23,18,12,1.3329999,3,5.8200002
0,0,1,5,94,35,17,9,0,1,4.8280001
0,1,1,17,120,50,27,16,2.2609999,5,6.2919998
0,1,1,8,108,45,22,12,5.3779998,7,5.6630001
0,0,1,11,103,31,19,9,3.5829999,1,5.8460002
0,1,1,11,106,36,22,12,1,6,6.0159998
0,0,1,12,119,37,29,16,.37799999,10,6.4920001
0,1,1,8,87,33,27,12,7.2820001,1,5.8579998
0,1,1,11,121,49,22,16,0,1,5.4640002
0,0,1,12,112,33,20,12,0,1,5.4250002
0,1,1,12,103,36,27,12,0,7,6.0819998
0,1,1,16,99,48,23,16,1.3329999,1,5.8460002
0,1,1,12,101,40,23,14,1.378,3,5.7589998
0,1,1,8,109,41,25,13,.37799999,3,5.7490001
0,0,1,12,73,46,19,12,0,1,5.835
0,1,1,16,116,27,21,16,.31099999,1,5.7839999
0,0,1,12,98,42,18,12,0,1,5.1420002
1,0,1,14,104,43,20,13,.32800001,1,5.2979999
0,0,1,12,78,29,19,12,0,0,4.9200001
0,1,1,12,85,39,20,11,2.128,1,5.2979999
0,0,1,12,104,25,17,12,.45300001,1,5.3800001
0,1,1,8,109,48,23,12,6.3779998,8,5.7589998
0,0,1,10,96,33,19,13,0,1,5.4809999
0,1,1,12,90,32,23,12,4.3330002,4,5.3940001
0,1,1,12,103,29,24,15,1.462,2,6.1529999
0,1,1,14,106,41,21,16,.333,1,5.9349999
0,1,1,14,96,32,22,16,4.2350001,0,6.105
0,1,1,8,114,39,20,12,.49200001,2,5.2979999
0,0,1,9,86,33,17,10,.333,1,4.7870002
1,1,1,13,110,38,24,16,1.753,0,6.052
0,1,1,12,87,41,24,12,4.2950001,7,5.8520002
0,0,1,13,89,31,17,12,0,2,5.2979999
0,1,1,8,106,40,18,12,1.7690001,1,5.743
0,0,1,5,100,43,19,12,.91000003,1,5.4759998
0,1,1,16,111,38,21,12,4.428,1,5.8579998
0,1,1,12,100,40,23,12,3.5150001,4,5.927
0,1,1,12,114,38,20,12,3.378,4,5.6630001
0,1,1,13,98,45,26,18,0,0,6.033
0,0,1,9,89,24,18,11,.79500002,1,5.8579998
0,1,1,11,74,23,17,10,.46200001,1,5.2979999
0,1,0,11,130,29,26,13,2.7950001,3,5.704
0,1,1,12,108,51,27,16,.36500001,1,6.165
0,1,0,10,98,31,19,12,2.3329999,2,5.3889999
0,0,1,16,125,27,21,16,.36899999,1,5.9530001
0,1,1,12,104,29,21,16,0,1,5.7620001
0,0,1,8,98,33,19,12,3,0,5.5570002
0,1,0,11,104,37,25,15,0,3,6.033
0,0,1,8,120,33,22,12,4.6170001,5,5.5209999
0,0,1,8,134,38,17,12,0,1,5.2979999
0,1,1,8,92,28,20,9,4.25,4,5.375
0,1,0,13,129,34,22,16,4.5479999,2,5.8660002
0,1,0,12,118,42,27,13,0,7,6.1919999
0,0,0,12,107,37,17,12,.37799999,1,5.8200002
0,1,1,12,92,37,24,12,5.461,1,5.6059999
0,0,1,16,118,33,21,16,.37799999,0,4.8280001
0,1,1,12,108,38,23,17,.66900003,0,6.052
0,1,0,12,119,42,22,12,5.3330002,1,5.2090001
0,0,0,8,109,29,18,12,.414,1,5.5009999
0,1,0,8,91,41,27,12,9.0860004,1,5.908
0,0,0,12,118,38,19,14,0,1,5.2979999
0,0,0,14,119,37,18,13,0,1,5.3709998
0,0,0,14,103,33,19,13,1.314,1,6.1589999
0,1,0,12,120,25,20,16,0,0,5.927
0,1,1,8,122,40,21,16,0,1,5.0939999
0,0,0,8,119,35,17,12,.42300001,2,5.2979999
0,1,0,9,104,37,29,11,7.3179998,6,6.4380002
0,0,0,8,96,22,18,10,.73699999,0,5.4029999
0,1,0,8,83,36,21,12,2.914,4,5.4159999
0,0,0,10,88,27,18,12,.46200001,0,5.7680001
0,0,0,8,96,43,22,12,2.9949999,4,5.2979999
0,1,1,12,123,42,24,17,1.8329999,2,6.0089998
0,1,1,11,108,43,20,12,2.3329999,1,5.0110002
0,0,1,12,116,35,21,16,2.5,1,6.323
0,1,0,16,109,45,24,18,.90799999,1,5.9660001
0,0,1,12,97,39,22,12,2.5680001,1,4.9419999
0,0,0,12,107,34,17,12,1,2,5.0110002
0,1,0,12,95,27,26,12,8.0270004,2,5.8940001
0,1,1,15,109,31,22,14,1.3839999,2,5.7399998
0,1,0,12,104,36,19,12,1.9,3,5.7680001
0,1,0,12,110,37,24,12,1.6670001,2,5.704
0,0,1,13,94,40,27,13,4.0879998,1,6.1760001
0,1,0,8,103,38,23,12,2.4159999,2,5.9000001
0,0,1,8,123,45,18,12,0,1,5.7270002
0,0,0,6,113,33,19,12,.37799999,1,5.2979999
0,0,0,12,100,31,20,13,0,1,5.1360002
0,0,0,12,95,39,17,12,0,1,4.9770002
0,1,0,8,100,34,22,12,3.8310001,5,5.2729998
0,1,1,15,108,39,23,13,3.7249999,4,5.6700001
0,1,1,12,101,47,24,12,.76899999,1,5.3610001
0,0,1,12,90,43,21,12,2.25,2,5.2979999
0,1,1,8,115,41,21,12,2.9400001,4,5.737
0,0,1,11,84,33,19,13,.49700001,1,5.3610001
0,1,1,12,125,44,24,14,0,2,5.572
0,1,1,11,107,42,24,12,6.3330002,5,6.2290001
0,0,1,8,129,33,20,13,0,1,5.8579998
0,0,1,12,98,40,19,12,1.692,1,5.927
0,0,1,8,108,41,24,12,5.1900001,6,5.684
1,1,1,2,114,37,22,16,.77999997,1,6.2049999
0,1,0,12,111,37,25,16,0,1,5.6630001
0,0,0,12,101,29,19,12,.98100001,1,5.2979999
0,0,0,12,99,25,20,12,3.0829999,1,4.9489999
0,0,0,12,75,24,18,11,1.192,1,5.1059999
0,0,0,6,91,29,24,12,0,1,5.7870002
0,1,0,12,113,38,21,16,0,1,5.4720001
0,1,0,8,120,34,26,12,8.4440002,1,5.5009999
0,0,1,12,98,32,19,13,.36899999,1,5.5209999
0,1,1,16,107,31,23,16,.458,2,6.098
0,1,1,12,121,39,24,18,.384,5,6.2150002
0,0,1,12,134,42,22,15,0,1,5.6630001
0,0,1,12,120,38,21,16,.75,1,6.2969999
0,0,1,12,105,36,22,15,1.02,1,5.6170001
0,1,1,10,121,40,26,12,0,3,6.3010001
0,1,1,12,113,29,21,16,.463,1,5.823
0,1,1,12,106,37,20,12,0,1,5.7839999
0,1,1,9,104,41,27,18,1.408,5,6.6030002
0,0,1,10,80,23,19,11,0,1,5.6170001
0,0,1,10,117,28,17,12,1,1,5.7839999
0,0,1,12,126,42,20,16,1.385,1,5.7140002
0,0,1,10,112,42,22,12,4.961,1,5.5799999
0,0,1,6,83,20,22,12,3.1559999,1,5.7620001
0,0,1,6,84,13,19,10,0,1,4.8280001
0,0,1,12,109,32,18,12,.37799999,1,5.9889998
0,0,1,12,111,25,21,14,0,0,6.131
0,1,0,12,94,33,23,12,6.4619999,1,5.5489998
0,0,0,12,96,32,17,12,0,1,5.704
0,0,0,12,101,33,19,13,.67299998,1,5.724
0,1,1,12,90,35,18,11,0,1,5.869
0,1,1,12,120,48,24,16,3.378,4,6.2249999
0,0,1,12,120,38,21,16,2.2309999,0,6.066
0,1,1,8,108,29,19,12,2.378,3,5.737
0,1,1,12,99,43,22,13,2.1900001,4,5.7620001
0,1,1,12,80,31,20,11,2.4619999,1,5.6020002
0,1,1,10,93,45,22,11,5.3330002,3,5.631
0,0,1,11,118,43,21,13,.37799999,1,5.5209999
0,0,1,12,115,31,18,11,1,1,5.5050001
0,0,1,10,119,28,22,16,3.7390001,0,5.2979999
0,0,1,12,94,39,19,12,0,1,5.5009999
0,1,1,13,109,42,26,16,4.842,0,5.9429998
0,0,1,14,104,37,21,13,2.378,1,5.0809999
0,0,0,7,89,21,17,11,1.09,1,4.8280001
0,0,0,12,101,28,22,12,2.3540001,3,5.5209999
0,0,0,12,96,34,22,16,0,1,5.704
0,1,0,9,109,48,22,12,1.5829999,1,5.0630002
0,1,0,4,94,38,23,12,3.0829999,4,5.3709998
0,0,0,6,115,34,20,12,1.473,2,5.5209999
0,1,0,8,92,41,24,12,2.161,3,5.6490002
0,0,0,11,71,32,17,9,.51899999,1,5.46
0,1,0,12,130,39,19,11,0,1,4.8829999
0,0,0,12,119,38,22,16,.228,1,5.8460002
0,0,1,10,74,24,18,9,.46200001,1,4.8600001
0,1,1,10,124,23,20,15,3.7539999,1,6.033
0,1,0,12,94,29,22,14,.45699999,1,5.2979999
0,1,0,12,120,44,28,16,6.3629999,4,5.5009999
0,1,1,8,96,40,23,11,1.545,1,5.7589998
0,0,1,12,98,42,17,12,.42300001,1,5.2979999
0,0,0,9,109,44,19,12,2.3329999,2,5.198
0,0,1,12,100,39,22,17,0,0,6.2010002
0,0,0,11,101,25,18,12,.53799999,1,5.2519999
0,1,0,12,111,40,21,16,.167,1,6.1739998
0,1,0,8,106,38,26,16,2.9809999,5,6.1329999
0,1,0,12,102,37,23,12,1.128,2,5.704
0,0,0,12,115,28,21,14,.741,1,5.8460002
0,1,0,10,99,37,18,12,1.387,1,6.2150002
0,1,0,11,118,48,22,16,1.3329999,2,5.5570002
0,0,1,13,132,37,22,13,0,1,5.7779999
0,0,1,12,108,26,18,13,.333,1,5.7589998
0,0,1,14,98,40,19,12,2.1659999,2,5.5450001
0,0,1,8,111,44,22,12,6.0830002,1,5.553
0,1,1,8,79,36,24,11,4.3559999,4,5.4120002
0,0,0,12,97,29,19,12,1,1,5.2979999
0,1,0,12,99,49,24,15,2.3329999,1,4.6539998
0,0,1,12,101,33,23,16,0,0,5.704
0,0,0,12,120,45,22,17,0,2,5.3940001
0,0,1,8,97,33,18,12,.37799999,2,5.2979999
0,1,0,8,106,34,23,12,4.7470002,5,4.9899998
0,0,0,12,131,44,21,16,.47799999,2,6.1760001
0,1,0,12,93,32,20,10,2.0450001,1,5.5009999
0,0,0,8,79,23,20,12,.37799999,1,5.704
0,0,1,11,100,38,17,12,.37799999,1,5.704
0,0,1,9,107,30,23,16,.81599998,1,6.1960001
0,1,1,12,105,22,19,12,.37799999,1,5.7069998
0,1,0,12,114,25,22,12,5.302,5,5.8410001
0,1,0,8,116,36,27,12,9.3780003,1,5.6630001
0,1,1,11,104,41,23,12,5.25,4,5.1820002
0,0,1,9,85,48,21,12,3.5829999,5,5.704
0,0,1,9,93,46,18,12,2.8329999,1,5.835
0,1,0,8,100,40,23,10,0,1,5.8460002
0,0,1,12,88,36,23,16,.43399999,1,5.9000001
0,1,0,12,93,32,21,12,4.4439998,0,6.184
0,0,0,12,98,26,20,12,1.795,1,5.1529999
0,1,0,12,110,35,20,14,1.892,3,5.2979999
0,0,0,11,94,38,20,14,.63499999,1,4.605
0,1,0,8,77,36,23,12,1.201,2,5.2199998
0,0,1,12,102,44,21,12,3.142,1,5.8049998
0,1,1,16,113,49,26,14,5.369,1,6.1399999
1,1,1,12,103,38,24,10,5.434,7,5.704
1,1,1,12,96,31,21,11,3.3329999,1,5.0110002
1,1,1,12,97,35,23,11,5.3330002,1,5.2199998
1,1,1,15,89,39,23,12,2.3169999,3,5.6939998
1,1,1,16,104,34,23,16,.89499998,0,6.23
1,1,1,11,116,36,24,14,0,1,5.4159999
1,0,1,12,104,47,23,14,0,1,5.5570002
1,0,1,12,114,37,18,12,.54100001,1,5.1929998
0,1,0,12,103,40,23,16,1.553,0,5.7709999
1,1,1,6,92,34,22,12,1.25,2,5.5650001
1,1,1,8,98,41,23,18,4.7059999,0,6.0009999
1,1,1,12,114,48,23,13,1.4170001,2,5.8200002
1,1,1,12,110,37,24,12,1.9170001,3,5.0500002
1,1,1,8,132,39,25,17,1.113,2,6.6149998
1,1,0,8,112,37,24,16,5.9320002,0,5.2979999
1,1,1,12,99,42,22,9,2.5,2,5.4809999
1,0,1,12,106,45,24,13,3.3329999,5,5.572
1,1,1,18,128,43,25,15,.30899999,0,6.2150002
1,0,1,8,80,30,22,12,3.4860001,2,5.8940001
1,1,1,6,71,24,23,11,2.043,1,5.704
1,0,1,12,127,45,23,18,.792,1,6.3990002
1,0,1,8,114,43,23,16,0,2,6.1090002
1,0,1,7,102,30,19,13,.65399998,1,5.4809999
1,0,1,12,88,34,19,12,.46200001,3,5.2309999
1,0,1,12,88,32,17,12,1,1,5.8579998
1,1,1,14,110,45,23,15,1.916,2,5.5489998
0,0,1,8,130,39,22,16,0,0,6.1760001
1,1,1,12,101,36,21,11,3.378,1,5.112
1,0,1,9,89,36,18,10,.333,1,4.9559999
1,1,1,12,80,25,21,10,1.3329999,2,5.2199998
0,1,1,12,72,20,26,12,9.0579996,0,6.3969998
0,1,1,12,115,56,27,18,1.189,2,5.4120002
1,1,1,12,115,48,27,16,.79799998,5,6.3150001
1,0,1,8,93,27,24,12,3.2950001,1,5.3709998
1,0,1,12,92,42,24,15,2.9159999,3,6.0229998
1,0,1,5,115,40,20,13,1.164,2,6.1630001
1,1,1,12,93,26,20,11,1.975,1,5.4720001
1,0,1,8,91,39,22,12,.653,1,5.4070001
1,1,1,9,90,35,20,10,4.5,1,5.165
1,1,1,9,104,47,20,12,3.1819999,4,5.1700001
1,1,1,12,100,42,18,12,1.848,2,4.9419999
1,0,1,15,129,40,28,18,0,0,4.8899999
0,0,1,12,112,39,22,16,.71700001,1,5.7270002
1,1,0,11,98,38,27,11,6.717,7,6.1550002
1,1,1,12,132,45,24,17,4.0190001,1,6.5669999
1,0,1,13,110,36,21,13,0,0,5.7270002
1,0,1,11,127,44,21,12,1.191,0,5.9640002
1,1,1,8,94,39,22,13,3.6199999,4,6.1090002
0,1,1,16,97,48,24,16,0,0,6.3870001
0,1,1,11,109,42,24,15,.255,1,5.652
1,0,0,3,89,21,18,12,0,1,4.9050002
1,0,0,11,90,33,23,12,5.3779998,6,5.46
